Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Like_Rate,Share_Rate,Comment_Rate,dominant_engagement_type
TikTok,#Fashion,Post,USA,3461154.0,165335.0,50077.0,19505.0,Low,0.0477687499602733,0.0144682958342795,0.0056354036832802,Likes
YouTube,#Education,Tweet,UK,3143932.0,298685.0,84720.0,37162.0,Low,0.0950036451170063,0.0269471477118461,0.0118202302085414,Likes
TikTok,#Viral,Live Stream,USA,3924406.0,35376.0,72832.0,3949.0,Medium,0.0090143578416708,0.0185587322004909,0.001006266935684,Shares
YouTube,#Dance,Shorts,Brazil,599766.0,223690.0,22531.0,10538.0,Low,0.3729621218942054,0.0375663175305035,0.0175701857057585,Likes
Twitter,#Education,Shorts,Japan,4357851.0,449803.0,63438.0,28280.0,High,0.1032167001579448,0.0145571750846919,0.0064894371101719,Likes
YouTube,#Dance,Live Stream,Brazil,4910814.0,197287.0,53218.0,14896.0,Low,0.0401739915215685,0.0108368999518206,0.0030333056800766,Likes
Instagram,#Gaming,Video,India,4369260.0,212278.0,21264.0,18172.0,Low,0.0485844284844573,0.0048667280042844,0.0041590566823672,Likes
YouTube,#Tech,Post,Canada,1874437.0,322601.0,35671.0,48768.0,Medium,0.1721055442247459,0.0190302474823106,0.026017412161625,Likes
Instagram,#Gaming,Live Stream,Canada,1653907.0,91836.0,77370.0,2823.0,Low,0.0555267013199653,0.0467801393911507,0.0017068674357143,Likes
YouTube,#Education,Shorts,Japan,4683280.0,311330.0,3357.0,5110.0,Medium,0.0664769136160981,0.0007168053159324,0.001091115628363,Likes
Instagram,#Comedy,Reel,Australia,1365655.0,156164.0,84930.0,18303.0,Low,0.1143509890858232,0.0621899381615415,0.0134023600396879,Likes
Twitter,#Music,Video,USA,2342195.0,91944.0,89578.0,44440.0,Medium,0.039255484705586,0.0382453211624138,0.01897365505434,Likes
YouTube,#Gaming,Live Stream,USA,4977438.0,8731.0,4500.0,46045.0,Low,0.0017541152697431,0.0009040795686455,0.0092507430529521,Comments
YouTube,#Viral,Reel,Australia,3005703.0,16688.0,77970.0,15891.0,Low,0.0055521121015615,0.0259406867544797,0.0052869495089834,Shares
YouTube,#Education,Tweet,UK,936390.0,368646.0,92202.0,2016.0,Low,0.393688527216224,0.0984653830134879,0.0021529490917246,Likes
TikTok,#Education,Live Stream,Japan,1855796.0,158156.0,6423.0,20518.0,High,0.0852227292223929,0.0034610485204192,0.0110561721223668,Likes
Instagram,#Dance,Video,India,1367820.0,10794.0,7617.0,36639.0,Medium,0.0078913892178795,0.0055687151818221,0.0267864192656928,Comments
TikTok,#Gaming,Shorts,USA,4499253.0,469481.0,89583.0,41549.0,High,0.1043464326189258,0.0199106384993242,0.0092346440620254,Likes
Twitter,#Comedy,Post,USA,4510477.0,274631.0,82143.0,13932.0,Low,0.0608873518255386,0.0182115993496918,0.0030888085672535,Likes
Twitter,#Education,Reel,India,4380015.0,355402.0,41860.0,42729.0,High,0.0811417312497788,0.0095570448959649,0.009755446042993,Likes
YouTube,#Fashion,Live Stream,Australia,943395.0,402996.0,18661.0,11999.0,High,0.4271763153292099,0.0197806857148914,0.0127189565346434,Likes
Twitter,#Comedy,Post,Brazil,3961278.0,49656.0,93072.0,23952.0,Medium,0.012535348440579,0.0234954476812786,0.0060465334672295,Shares
YouTube,#Comedy,Shorts,Brazil,4080112.0,171609.0,17994.0,41339.0,Medium,0.0420598748269655,0.004410173054073,0.0101318297144784,Likes
Twitter,#Comedy,Shorts,Germany,3934142.0,380972.0,42858.0,26194.0,Low,0.0968373790269898,0.0108938619907466,0.0066581226605445,Likes
Instagram,#Tech,Reel,Japan,1600237.0,325368.0,62818.0,25686.0,Medium,0.2033248825017794,0.0392554352886478,0.0160513723904646,Likes
Instagram,#Dance,Live Stream,India,2212857.0,74624.0,24137.0,35546.0,Medium,0.0337229201886972,0.0109076185221186,0.0160633967762037,Likes
Twitter,#Gaming,Live Stream,USA,4711157.0,313821.0,86074.0,36395.0,High,0.0666122992717075,0.0182702465657586,0.0077252785249992,Likes
Instagram,#Fashion,Reel,Japan,2747788.0,422463.0,21545.0,40997.0,Low,0.1537465772468618,0.0078408523510547,0.0149200011063444,Likes
YouTube,#Dance,Post,Australia,2081426.0,225061.0,67840.0,28774.0,Medium,0.1081282735970435,0.0325930395795959,0.0138241763098952,Likes
YouTube,#Music,Live Stream,Canada,2258494.0,159509.0,25505.0,8605.0,Medium,0.0706262668840386,0.0112929235145189,0.0038100610406757,Likes
YouTube,#Comedy,Tweet,Japan,1357850.0,472399.0,90644.0,33331.0,Low,0.3479021983282395,0.0667555326435173,0.0245468939868173,Likes
Twitter,#Dance,Reel,USA,4006009.0,491965.0,60534.0,31438.0,High,0.1228067635394728,0.0151107998009989,0.007847710776486,Likes
YouTube,#Fitness,Tweet,Australia,3934991.0,389693.0,81891.0,32967.0,Medium,0.099032755093976,0.0208109751712265,0.0083779098859438,Likes
Instagram,#Challenge,Live Stream,Australia,2824818.0,34126.0,53516.0,29452.0,Low,0.0120807783014693,0.0189449373375559,0.0104261584286138,Shares
Twitter,#Dance,Video,Australia,197986.0,184395.0,9408.0,7599.0,Medium,0.9313537320820664,0.0475185114098976,0.038381501722344,Likes
YouTube,#Challenge,Post,Germany,2291491.0,474568.0,83894.0,6150.0,High,0.2071000933453371,0.0366110973161142,0.002683842092332,Likes
Twitter,#Music,Live Stream,UK,3525573.0,40967.0,4121.0,26381.0,Low,0.0116199551108429,0.0011688880077082,0.0074827552854528,Likes
TikTok,#Music,Reel,USA,866896.0,122451.0,79602.0,25491.0,Low,0.1412522378693638,0.0918241634521326,0.0294049113157749,Likes
YouTube,#Tech,Video,Australia,4104535.0,331535.0,60374.0,13314.0,Medium,0.0807728524668446,0.0147090961582737,0.0032437291922227,Likes
TikTok,#Dance,Tweet,India,2601441.0,93254.0,55921.0,48758.0,Low,0.0358470555357588,0.0214961630880731,0.0187426891480529,Likes
Instagram,#Gaming,Shorts,Canada,1142030.0,212596.0,72334.0,18.0,High,0.1861562305718763,0.0633380909433202,1.5761407318546798e-05,Likes
YouTube,#Fashion,Shorts,Canada,2969591.0,358102.0,26688.0,8128.0,Low,0.1205896704293621,0.0089870962028104,0.0027370772608079,Likes
TikTok,#Education,Post,Japan,855465.0,14117.0,73654.0,46422.0,High,0.0165021362650722,0.0860982039008024,0.0542652241763251,Shares
YouTube,#Viral,Video,Brazil,4453459.0,376054.0,36502.0,19620.0,High,0.0844408806727534,0.0081963255976983,0.0044055643040611,Likes
YouTube,#Fitness,Tweet,Australia,4226427.0,421149.0,53769.0,27804.0,Medium,0.0996465809062832,0.0127220936266023,0.0065786064683005,Likes
Instagram,#Education,Tweet,Australia,1419701.0,68719.0,98115.0,36515.0,Low,0.0484038540509586,0.0691096223782331,0.0257202044655881,Shares
TikTok,#Fashion,Post,Germany,4378457.0,136878.0,89273.0,41624.0,Medium,0.0312616978995111,0.0203891462220595,0.0095065453423432,Likes
TikTok,#Music,Post,India,3647159.0,216783.0,79133.0,7687.0,High,0.0594388673485307,0.021697162092467,0.0021076679135732,Likes
YouTube,#Gaming,Video,USA,1750105.0,125485.0,942.0,20317.0,Low,0.0717014122009822,0.0005382534190805,0.0116090177446496,Likes
Instagram,#Dance,Tweet,India,1796369.0,145118.0,68421.0,16720.0,High,0.0807840705333926,0.0380884996345405,0.0093076645165887,Likes
Twitter,#Fitness,Shorts,India,1535141.0,15408.0,23087.0,23147.0,Medium,0.0100368630633928,0.0150390094460378,0.0150780938037613,Comments
Twitter,#Challenge,Video,Australia,612594.0,132163.0,29340.0,40557.0,Medium,0.2157432165512558,0.0478946904475068,0.0662053497095955,Likes
Instagram,#Challenge,Reel,USA,4219632.0,171996.0,5043.0,3436.0,Medium,0.0407609004766292,0.001195127916368,0.0008142890185684,Likes
Twitter,#Viral,Shorts,Japan,3994554.0,241425.0,99422.0,41307.0,High,0.0604385370682183,0.0248893869002647,0.0103408290387362,Likes
Instagram,#Challenge,Shorts,India,4290853.0,211176.0,66264.0,14337.0,Medium,0.0492153891079466,0.0154430832284396,0.0033412936775042,Likes
Instagram,#Gaming,Live Stream,Japan,4637078.0,219517.0,5831.0,32657.0,Low,0.0473395099241375,0.001257472917212,0.0070425815567475,Likes
Instagram,#Comedy,Shorts,Brazil,3315125.0,62336.0,79392.0,42892.0,High,0.0188035141962972,0.0239484182346065,0.0129382753289845,Shares
Twitter,#Fitness,Shorts,Brazil,4357287.0,106179.0,4262.0,12978.0,Medium,0.0243681446735089,0.0009781315759095,0.0029784588437713,Likes
TikTok,#Fitness,Shorts,Canada,907386.0,52457.0,77192.0,32870.0,High,0.057811118972521,0.0850707416689259,0.0362249362454346,Shares
Twitter,#Gaming,Post,India,1908555.0,194688.0,34182.0,3500.0,High,0.102008063692165,0.0179098847033488,0.0018338481206986,Likes
Twitter,#Challenge,Post,Japan,3074269.0,18233.0,37713.0,28599.0,Medium,0.0059308407949987,0.0122673064718799,0.0093026992758278,Shares
YouTube,#Dance,Post,Brazil,4067125.0,190686.0,12963.0,11560.0,High,0.0468847158619417,0.0031872637305221,0.002842302609337,Likes
YouTube,#Fitness,Reel,Japan,1173157.0,137342.0,95328.0,47250.0,Low,0.117070434732947,0.0812576662799608,0.040275939196544,Likes
TikTok,#Fitness,Reel,Germany,2141884.0,23466.0,66627.0,40003.0,High,0.0109557753827938,0.0311067266014406,0.0186765483098057,Shares
Twitter,#Comedy,Post,India,4567233.0,66980.0,96596.0,49121.0,Low,0.0146653345690924,0.0211497858769193,0.010755089569549,Shares
Twitter,#Gaming,Post,UK,506074.0,69145.0,31191.0,43362.0,Low,0.1366302161343993,0.0616332789275876,0.0856831214407379,Likes
YouTube,#Comedy,Tweet,UK,3210080.0,195970.0,75414.0,4473.0,High,0.0610483227832328,0.0234928724517769,0.0013934232168668,Likes
TikTok,#Music,Reel,India,1347102.0,274212.0,15298.0,28342.0,High,0.2035569689600342,0.01135622989202,0.0210392383056368,Likes
TikTok,#Tech,Post,Australia,3843536.0,90333.0,10903.0,30677.0,Medium,0.0235025767938689,0.0028367107788244,0.0079814524958267,Likes
Instagram,#Viral,Reel,Germany,965073.0,263310.0,39207.0,27324.0,High,0.2728394639576488,0.0406259422862312,0.0283128841030678,Likes
YouTube,#Education,Post,Canada,3096420.0,364521.0,73308.0,29082.0,Low,0.1177233708605421,0.0236750828375995,0.0093921367256379,Likes
YouTube,#Gaming,Tweet,Germany,2723916.0,1349.0,81918.0,11870.0,High,0.0004952428782679,0.0300736146048556,0.0043576967865382,Shares
TikTok,#Music,Live Stream,UK,2249678.0,46464.0,83075.0,5710.0,Medium,0.020653622429521,0.0369275069587736,0.0025381410139584,Shares
Twitter,#Viral,Shorts,Germany,3311289.0,352538.0,55203.0,5369.0,Medium,0.1064654882132003,0.016671151325058,0.0016214229564378,Likes
Instagram,#Music,Tweet,India,3588997.0,241125.0,65026.0,30917.0,Medium,0.0671845086524173,0.0181181539020511,0.0086143844645175,Likes
Twitter,#Fitness,Live Stream,USA,3926751.0,302919.0,49216.0,30399.0,Low,0.077142400931457,0.0125335168947559,0.0077415145498148,Likes
YouTube,#Music,Tweet,UK,2750317.0,59766.0,75524.0,27938.0,High,0.0217305859651814,0.02746010732581,0.0101581017751771,Shares
TikTok,#Challenge,Reel,Germany,4655757.0,383024.0,45530.0,48504.0,Medium,0.0822688984841777,0.0097792904569546,0.0104180694997612,Likes
Instagram,#Fitness,Video,USA,4844012.0,452777.0,44862.0,23870.0,High,0.0934714860326522,0.0092613313096664,0.0049277334573077,Likes
Twitter,#Dance,Video,USA,3868789.0,188191.0,4660.0,26605.0,Medium,0.0486433868582649,0.001204511282471,0.0068768288991723,Likes
Twitter,#Viral,Tweet,Australia,2517364.0,418305.0,51641.0,34605.0,High,0.1661678644804644,0.0205139185274755,0.0137465221557152,Likes
Instagram,#Dance,Video,Brazil,1994041.0,310266.0,87995.0,40217.0,Medium,0.1555966000699083,0.0441289823027711,0.0201685923208198,Likes
TikTok,#Education,Shorts,Australia,1402998.0,241244.0,56779.0,14849.0,High,0.1719489265130812,0.0404697654593948,0.0105837641963851,Likes
YouTube,#Fashion,Live Stream,Brazil,702950.0,17361.0,62405.0,10538.0,Low,0.0246973468952272,0.0887758731061953,0.0149911088982146,Shares
Instagram,#Education,Tweet,Canada,1599554.0,364748.0,16705.0,8949.0,High,0.2280310636589949,0.0104435361356978,0.0055946845183094,Likes
TikTok,#Tech,Post,Australia,4600976.0,443617.0,98343.0,18038.0,High,0.0964180208720932,0.021374377958068,0.0039204725258293,Likes
Twitter,#Viral,Shorts,USA,2495410.0,213884.0,16804.0,17614.0,Low,0.0857109653323501,0.0067339635570908,0.00705855951527,Likes
TikTok,#Dance,Video,Germany,1838563.0,289125.0,77191.0,27066.0,High,0.157255965664489,0.041984419353593,0.0147212796080417,Likes
YouTube,#Tech,Shorts,India,2920650.0,416403.0,56902.0,2675.0,Low,0.1425720301987571,0.019482649410234,0.0009158920103401,Likes
TikTok,#Viral,Video,Germany,1772623.0,361245.0,30503.0,13260.0,Low,0.2037912178731744,0.0172078326863636,0.0074804400033171,Likes
Instagram,#Comedy,Shorts,Australia,2484315.0,101605.0,80028.0,36281.0,High,0.0408985978026135,0.0322133062836234,0.0146040256569718,Likes
YouTube,#Comedy,Live Stream,India,4927173.0,22341.0,38730.0,42476.0,Medium,0.0045342430639232,0.0078604911985026,0.0086207648889129,Comments
TikTok,#Challenge,Video,UK,3924183.0,283030.0,30676.0,43977.0,Low,0.0721245670754906,0.007817168567317,0.0112066639094048,Likes
Instagram,#Music,Post,USA,4646060.0,21362.0,31562.0,19778.0,Medium,0.0045978743279251,0.0067932829106813,0.0042569402891912,Shares
YouTube,#Fitness,Video,USA,3901900.0,20166.0,30661.0,25363.0,Low,0.0051682513647197,0.0078579666316409,0.0065001665855096,Shares
Instagram,#Fashion,Video,Japan,962137.0,319381.0,69098.0,38387.0,Low,0.3319496080080071,0.0718172152198699,0.0398976445142427,Likes
TikTok,#Education,Video,Germany,3859007.0,277223.0,81798.0,46985.0,Medium,0.0718379106334868,0.0211966446290457,0.0121754119647878,Likes
Twitter,#Challenge,Shorts,UK,3837223.0,140163.0,85932.0,40674.0,Medium,0.0365271968817032,0.0223943200590635,0.0105998530708275,Likes
Instagram,#Comedy,Post,UK,1029488.0,449148.0,87211.0,35005.0,High,0.4362828901356791,0.0847129835413331,0.0340023390267783,Likes
Twitter,#Fashion,Post,Germany,879364.0,232290.0,7501.0,23547.0,Low,0.2641568224307568,0.0085300285206126,0.0267773072356839,Likes
TikTok,#Comedy,Live Stream,USA,4828597.0,131837.0,43770.0,9395.0,Low,0.0273033761152566,0.0090647448938066,0.001945699755022,Likes
YouTube,#Education,Video,India,3487375.0,107303.0,83451.0,45313.0,High,0.0307689881357754,0.0239294598372701,0.012993440625112,Likes
TikTok,#Dance,Tweet,India,3418884.0,311286.0,82479.0,7832.0,High,0.0910490089748584,0.0241245388846184,0.0022908060057024,Likes
YouTube,#Challenge,Reel,Brazil,1337059.0,318166.0,72711.0,32791.0,High,0.2379595814395625,0.0543812950662611,0.0245247217961211,Likes
TikTok,#Education,Live Stream,Canada,707841.0,133933.0,46058.0,45912.0,High,0.1892133967939127,0.0650682851092265,0.0648620240986323,Likes
TikTok,#Fitness,Shorts,Australia,1851460.0,345987.0,13274.0,43872.0,Low,0.1868725222257029,0.0071694770613461,0.0236958940511812,Likes
Instagram,#Fashion,Tweet,Canada,1438248.0,223413.0,84930.0,42774.0,Low,0.1553369099070536,0.0590510120646786,0.0297403507600914,Likes
Instagram,#Fashion,Live Stream,Brazil,4027409.0,80497.0,44156.0,14597.0,Medium,0.0199872920778594,0.0109638728025884,0.0036244146050227,Likes
Instagram,#Music,Video,India,3488909.0,443844.0,19877.0,22056.0,Low,0.1272156998075903,0.0056971964588356,0.0063217469988469,Likes
TikTok,#Fitness,Video,USA,1089083.0,150418.0,45387.0,25632.0,Medium,0.1381143585934221,0.0416745096562888,0.0235353962921099,Likes
YouTube,#Tech,Live Stream,Brazil,4849297.0,86843.0,16843.0,14705.0,Low,0.0179083689862674,0.0034732869527273,0.0030323983043315,Likes
Instagram,#Challenge,Tweet,USA,4283565.0,107901.0,84854.0,4738.0,Low,0.0251895325505741,0.0198092009809586,0.0011060880364836,Likes
Twitter,#Viral,Post,USA,3940355.0,82304.0,68754.0,15897.0,Low,0.0208874581097388,0.0174486816543179,0.0040344080672934,Likes
Instagram,#Education,Reel,Canada,964498.0,194879.0,76029.0,34998.0,High,0.2020522593100245,0.0788275351530018,0.0362862338750313,Likes
TikTok,#Tech,Shorts,UK,636824.0,363548.0,17456.0,8176.0,Low,0.570876725751542,0.0274110272225921,0.0128387121088401,Likes
TikTok,#Comedy,Reel,India,4179125.0,94325.0,72341.0,7328.0,Low,0.0225705141626536,0.0173100828522717,0.0017534771034606,Likes
Instagram,#Gaming,Video,Brazil,1292958.0,95304.0,3716.0,44880.0,Low,0.0737100509065259,0.002874029937554,0.0347111043050122,Likes
Instagram,#Viral,Reel,UK,4103477.0,75909.0,5645.0,4052.0,Low,0.018498702441856,0.001375662639269,0.000987455272687,Likes
Twitter,#Education,Reel,Germany,3529777.0,68367.0,38326.0,879.0,High,0.0193686456679841,0.0108579097206424,0.0002490242301425,Likes
Instagram,#Fashion,Reel,USA,4593170.0,34210.0,33344.0,11022.0,Low,0.007448015205185,0.0072594743935016,0.0023996499149824,Likes
TikTok,#Challenge,Shorts,Brazil,3251679.0,498580.0,96093.0,9968.0,Medium,0.1533300181229451,0.0295518100033859,0.0030654932421066,Likes
Twitter,#Dance,Shorts,Canada,2127698.0,193956.0,14856.0,32442.0,Medium,0.0911576736924131,0.0069821939015781,0.0152474646307887,Likes
YouTube,#Education,Shorts,Australia,4765117.0,177035.0,49884.0,46238.0,Medium,0.0371522881809617,0.010468578211196,0.0097034343542876,Likes
Twitter,#Fitness,Reel,India,2114283.0,462542.0,14404.0,37153.0,Low,0.2187701457184303,0.0068127114487511,0.0175723874240108,Likes
YouTube,#Fashion,Reel,Canada,4391275.0,392281.0,14429.0,27404.0,High,0.0893319138518995,0.0032858338409687,0.006240556558175,Likes
TikTok,#Gaming,Post,India,1246500.0,471547.0,15048.0,40514.0,High,0.378296831127156,0.0120722021660649,0.0325022061772964,Likes
Twitter,#Music,Tweet,Germany,4555977.0,1087.0,23157.0,12611.0,Medium,0.0002385876838272,0.0050827736838882,0.0027680122177965,Shares
Instagram,#Challenge,Video,Brazil,3201846.0,335416.0,50986.0,16715.0,High,0.1047570682662439,0.0159239388777598,0.0052204259667704,Likes
Twitter,#Comedy,Tweet,Australia,4253909.0,448284.0,39383.0,32995.0,Low,0.1053816619020294,0.0092580729865166,0.007756395353074,Likes
TikTok,#Fitness,Live Stream,Australia,1551922.0,47511.0,7404.0,25497.0,Low,0.0306142963370581,0.0047708583292201,0.0164293050810543,Likes
YouTube,#Challenge,Post,Germany,3587143.0,430347.0,96428.0,42640.0,Medium,0.1199692903238036,0.0268815600604715,0.0118868971769455,Likes
Instagram,#Fashion,Video,USA,2252593.0,61466.0,13181.0,29007.0,High,0.0272867757291263,0.0058514787180817,0.0128771597887412,Likes
YouTube,#Challenge,Video,Australia,2547290.0,382792.0,78654.0,30532.0,Medium,0.1502742129871353,0.03087752081624,0.0119860714720349,Likes
YouTube,#Viral,Reel,USA,2946297.0,223304.0,83502.0,10855.0,Low,0.0757914086733279,0.0283413382968519,0.0036842857322259,Likes
Twitter,#Education,Video,India,4459268.0,356292.0,52389.0,33857.0,Low,0.0798992121576904,0.0117483407590662,0.0075925017289833,Likes
Instagram,#Music,Live Stream,Australia,1630617.0,435112.0,71742.0,49750.0,High,0.2668388714210633,0.043996842912836,0.030509923544278,Likes
Instagram,#Education,Live Stream,USA,4709770.0,389553.0,55435.0,16799.0,Medium,0.0827116823114504,0.0117702138320979,0.003566840843608,Likes
Instagram,#Fitness,Tweet,Australia,2275387.0,271817.0,72208.0,27046.0,High,0.1194596787271791,0.0317343818875646,0.0118863296661183,Likes
TikTok,#Tech,Tweet,Brazil,2784320.0,373955.0,22997.0,15361.0,High,0.1343074790253993,0.0082594673026088,0.005516966440639,Likes
Twitter,#Music,Tweet,USA,3674194.0,19972.0,97555.0,24310.0,Medium,0.005435749990338,0.0265514014774396,0.0066164170971919,Shares
YouTube,#Music,Post,UK,2126429.0,36274.0,51278.0,44234.0,Medium,0.017058646209208,0.0241146071653462,0.020802011259252,Shares
YouTube,#Fitness,Shorts,USA,1598712.0,280260.0,58128.0,4485.0,High,0.1753036194136279,0.0363592692117154,0.0028053833335835,Likes
Twitter,#Fashion,Video,Australia,3464211.0,115302.0,63150.0,37858.0,Medium,0.033283769377789,0.018229259130001,0.0109283181653773,Likes
Twitter,#Fitness,Reel,UK,1519290.0,495937.0,13211.0,49107.0,Low,0.3264268177898887,0.0086955090864811,0.0323223347747961,Likes
Instagram,#Fitness,Tweet,Canada,4888613.0,414422.0,11933.0,23903.0,High,0.0847729202536588,0.0024409786579547,0.0048895259248379,Likes
Twitter,#Viral,Shorts,USA,3712060.0,302466.0,63802.0,49953.0,Low,0.0814819803559209,0.0171877609736911,0.0134569484329455,Likes
Instagram,#Tech,Reel,UK,4003071.0,22251.0,13517.0,13392.0,Low,0.0055584824750797,0.0033766575711497,0.0033454315449313,Likes
Instagram,#Dance,Video,Germany,681752.0,197632.0,98860.0,19379.0,High,0.2898884051678616,0.1450087421819078,0.0284252924817235,Likes
Instagram,#Gaming,Shorts,Germany,4684548.0,122401.0,82864.0,42106.0,Low,0.0261286681233707,0.0176887930276304,0.0089882737886344,Likes
Instagram,#Tech,Video,UK,3916842.0,292224.0,72417.0,38211.0,High,0.0746070431230057,0.0184886191477726,0.0097555632828692,Likes
TikTok,#Dance,Reel,UK,798887.0,326922.0,87308.0,21689.0,Medium,0.4092218298708077,0.109287045602194,0.0271490210755713,Likes
Twitter,#Gaming,Video,Australia,688077.0,243607.0,79071.0,12078.0,High,0.3540403181620661,0.1149159178405905,0.0175532680208755,Likes
Twitter,#Challenge,Reel,Japan,1520250.0,214233.0,80.0,10917.0,Medium,0.1409195855944746,5.262292386120704e-05,0.0071810557474099,Likes
YouTube,#Education,Reel,USA,4221739.0,291223.0,61415.0,44293.0,Low,0.0689817632023201,0.0145473227975485,0.0104916481099376,Likes
Twitter,#Education,Live Stream,Brazil,4425196.0,324343.0,33641.0,22289.0,High,0.0732946066117749,0.0076021491477439,0.0050368390462252,Likes
Instagram,#Comedy,Shorts,UK,4236960.0,259668.0,86293.0,16169.0,Low,0.0612863940183527,0.0203667251991994,0.0038161795249424,Likes
TikTok,#Education,Reel,India,2488223.0,177673.0,86535.0,39991.0,Low,0.0714055773939875,0.0347778314081977,0.0160721125076008,Likes
YouTube,#Dance,Live Stream,UK,2809035.0,359231.0,78623.0,27822.0,Medium,0.1278841310272032,0.0279893272956727,0.0099044689724407,Likes
YouTube,#Music,Shorts,Brazil,444252.0,398838.0,7767.0,19133.0,High,0.8977742362442938,0.0174833202776802,0.0430678984000072,Likes
Instagram,#Fashion,Reel,India,907575.0,42770.0,5219.0,47956.0,Low,0.0471255819078313,0.0057504889403079,0.0528397102167864,Comments
TikTok,#Dance,Post,Canada,2440215.0,199343.0,53628.0,10359.0,Medium,0.0816907526590894,0.0219767520484875,0.0042451177457724,Likes
TikTok,#Comedy,Shorts,USA,3982001.0,131915.0,64092.0,22170.0,Medium,0.033127816894069,0.0160954253904004,0.0055675525947883,Likes
Twitter,#Fashion,Reel,Brazil,3802724.0,457464.0,83495.0,19409.0,High,0.1202990277495816,0.0219566289849066,0.0051039728363141,Likes
YouTube,#Dance,Shorts,Australia,3049554.0,441149.0,46483.0,36909.0,Low,0.1446601699789543,0.0152425567804341,0.0121030813030364,Likes
YouTube,#Fashion,Video,Germany,3186810.0,312491.0,66586.0,7390.0,Medium,0.0980576187472739,0.0208942484804553,0.0023189333534161,Likes
Twitter,#Dance,Post,UK,4459224.0,957.0,54290.0,47674.0,High,0.0002146113314783,0.0121747640396625,0.0106910978232984,Shares
Instagram,#Viral,Post,USA,741152.0,226355.0,58251.0,46227.0,High,0.3054096865420319,0.078595213937222,0.0623718211648892,Likes
Twitter,#Fashion,Tweet,USA,2945128.0,368541.0,66690.0,3800.0,Medium,0.1251358175264368,0.022644177095189,0.0012902665011503,Likes
Twitter,#Music,Post,Canada,2302342.0,153529.0,52488.0,41257.0,High,0.0666838375879864,0.0227976556045974,0.017919579280576,Likes
YouTube,#Fashion,Shorts,Australia,469793.0,295293.0,29190.0,9480.0,Medium,0.6285598125131707,0.0621337482678541,0.0201791001568776,Likes
Twitter,#Comedy,Live Stream,UK,2452099.0,320043.0,91765.0,2987.0,Low,0.1305179766396055,0.0374230404237349,0.001218140050626,Likes
TikTok,#Tech,Live Stream,UK,2651939.0,209375.0,2127.0,12291.0,Low,0.0789516651778189,0.0008020546475616,0.0046347219902116,Likes
TikTok,#Fitness,Shorts,India,1580449.0,299597.0,35471.0,1908.0,High,0.189564484523069,0.0224436220339916,0.0012072518632363,Likes
Instagram,#Dance,Tweet,India,4764800.0,52536.0,65976.0,47528.0,Medium,0.0110258562793821,0.0138465413028878,0.0099748153122901,Shares
Twitter,#Comedy,Tweet,Japan,4336145.0,295452.0,2342.0,22411.0,Medium,0.0681370203256579,0.0005401110894584,0.0051684157241051,Likes
